utterance,intentions
no i would like an italian place in the,informchoicename
ask sounds good whats the,informpostcode
i am also looking for a train departing from cambridge on tuesday and arriving at ely by,offerbook
before i book anything can you give me the,informticket
how long does the train take to get to ely and when precisely does it,offerbook
before i book anything what is the,informticket
thank you please book,requestpeople
just one ticket,offerbookreference
thanks for your,welcome
i think that is all i need for today thank,bye
yes i need some help looking for a restaurant the restaurant should be located in the west and the food should be in the more expensive price range if at,requestfood
yes indian,recommendname
yes look it up and book me for mondayplease,requesttime
please book any indian restaurant in the same area and price range as tandoori palace this is for 8 people at 1945 on,informreference
that is it thank you for your help good,bye
i need a place to stay in the centre of cambridge thats very,informareanamepricerangestars
i need a 3 star,informname
i want to book it for 3 people and 2 nights starting from,bookreference
yes i am looking for a particular attraction called jesus green outdoor,informphoneareaaddresspostcode
you so much i think i have everything i,bye
can you help me find a restaurant in cambridge called loch,informfoodpricerangeareaname
can you go ahead and make a reservation for 7 people on wednesday around 1630 for,bookreference
thanks so much i am also looking for places to go in town can you help me with,requestarea
i would like it to be in the,selecttype
the attraction should be in the west and should be in the type of,recommendfeeaddressname
okay great what is their phone number,informphone
thats all i need today  thanks for all your,bye
i think this would be a good time to end the dialogue,bye
hi im looking to take a train on tuesday and heading to,requestdeparture
i will be leaving from,requestleaveat
well i want to arrive by,requestleaveat
i could leave in the,requestpeople
i would like to try some chinese food while i am visiting,requestareapricerange
moderately priced in the centre i need a reservation for 4 at 1345 on wednesday and the reference number as,booktimepeopledaynamereference
thanks a lot can you tell me a little about a hotel called home from,informaddresspostcodeareastarsparkingpricerangenametypeinternet
no thats all i needed thank you for the,bye
im looking for a place to eat in the centre of,requestfood
what about mediterranean,requestpricerange
my price range is 50 to 75 dollars for 2 people i would also like something that is walking distance from my,informnameareapricerange
yes please can you make a reservation on tuesday at 1215 table for,inform
if tuesday at 1215 is not available i would be willing to come,bookreference
thanks i also need train information for wednesday with an arrival by,requestdeparturedestination
it should depart from cambridge destination is kings,offerbook
